clickability_test_id,headline,clicks
51436061220cb800020001e7,The One Where A Creationist Picks A Fight And Loses To A Priest,68
51436061220cb800020001e7,Creationism Has Nothing To Do With Christianity According To Christian Dude,39
51436069220cb800020005ae,"The Advertisements You Read Every Day, Only Naked",44
51436069220cb800020005ae,What Your Advertisement Say About You Behind Closed Doors,15
51436069220cb800020005bd,"Mr. President, I'm Not Mad. I'm Just Disappointed. ",103
51436069220cb800020005bd,"Mr. President, I'm Not Mad. I'm Just Disappointed. No, Wait. I'm A Little Mad Too.",89
5143606a220cb800020005c6,Her Mom Abandoned Her When She Found Out She Had A Girl. Said Girl May Now Run A Country.,59
5143606a220cb800020005c6,"This Brave Woman Is Running For President Of Afghanistan. Yes, Afghanistan.",26
5143606b220cb800020005d7,Feminist Confuses Fox News Host By Suggesting That We Teach Men To Not Attack Women,55
5143606b220cb800020005d7,Sean Hannity Supports A Woman's Right To Choose Some Things...,15
5143606e220cb800020006ba,This Woman's Beef With Prettiness Will Leave You Speechless,108
5143606e220cb800020006ba,Why This Woman Thinks Pretty Isn't Enough,73
51436070220cb80002000748,This Is What Happens When A Gay Teen Records Her Innermost Thoughts,98
51436070220cb80002000748,Listen To The Innermost Thoughts Of A Gay Teen About Her Homophobic Mom,80
51436071220cb8000200077c,What Are The Odds That You'll Be Single Forever? This Guy Will Tell You.,68
51436071220cb8000200077c,Are You Tired Of Being Single On Valentine's Day? Don't Worry. Math Is Here To Help.,37
51436071220cb80002000788,How To Stop A Child From Smoking In 30 Seconds,79
51436071220cb80002000788,"Kids Love To Smoke Cigarettes, Right?",35
51436073220cb8000200079c,7 Love Letters To Learning From The World's Sharpest Minds ,27
51436073220cb8000200079c,A Love Letter To Libraries,11
51436073220cb800020007a7,"Tragedy Struck First. Now, Love Strikes Back. ",40
51436073220cb800020007a7,Guns Devastated The Town This Man Loves. Here's What He's Doing To Fight Back.,30
51436074220cb800020007af,The Truth About The Deficit No One Wants You To Know,28
51436074220cb800020007af,That Awkward Moment When You Realize All These Deficit Hawks Are Full Of Crap,22
51436074220cb800020007b0,Why Both Parties Should Agree To Buy A Few More Telescopes,19
51436074220cb800020007b0,How Many Asteroids Are Headed For Earth At This Exact Moment?,12
51436074220cb800020007b2,I Would Not Want To Hear This Heartbreaking Sound Coming From My Mom,35
51436074220cb800020007b2,Remember The Shawshank Redemption? Half Of It REALLY Happened.,34
51436075220cb800020007b8,Someone Give This Man A Nobel Prize Already. He’s Going To Save The Planet!,51
51436075220cb800020007b8,"Remember Climate Change? We Can Fix It, Here's How.",31
51436076220cb800020007be,In Case You Forgot Just How Amazing This Planet We Live On Really Is,44
51436076220cb800020007be,I've Never Been Prouder Of The Planet We Live On ,38
51436079220cb800020008a8,2 Monkeys Were Paid Unequally; See What Happens Next,197
51436079220cb800020008a8,Remember 'Planet Of The Apes'? It's Closer To Reality Than You Think.,67
51436079220cb800020008b8,How Hard Is It to Pose Like Princess Leia? 4 Nerdy Novelists Find Out.,97
51436079220cb800020008b8,Nerdy Novelists Get Nearly Naked. For Charity.,84
5143607b220cb8000200091c,You'll Never Look At Topless Women The Same Way Again,196
5143607b220cb8000200091c,NSFW: Stopping Breast Cancer With Pictures Of Boobs,64
5143607b220cb8000200092a,The Most Creative Drinking And Driving PSA I've Ever Seen,73
5143607b220cb8000200092a,Would You Die For Disco?,26
5143607c220cb80002000939,I Was Shocked When I Saw This Sentence And Sad When I Comprehended It ,45
5143607c220cb80002000939,"If $23 Dollars An Hour Sounds Like A Lotta Dough, Check This Out
",13
5143607d220cb80002000949,"This Famous Actress Doesn't HAVE To Do This, But I'm So Glad She Is",128
5143607d220cb80002000949,Rosario Dawson And I Have Something Very Important In Common,44
5143607d220cb80002000955,I Didn't Realize That Only White Farmers In America Drove These Cars!,43
5143607d220cb80002000955,The Best Argument For Immigration Reform I've Ever Seen In An Superbowl Commerical,32
5143607e220cb8000200095e,See The Status Updates That Changed The World,37
5143607e220cb8000200095e,Why Democracy Loves Social Media,13
