Method,Dataset,Task,Data_Type,Seed,Accuracy,F1,Model
few_shot_gen,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.63,0.6180838115110415,meta-llama/llama-3.1-70b-instruct
literature_only,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.6,0.572039072039072,meta-llama/llama-3.1-70b-instruct
hypogenic,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.6466666666666666,0.6196172248803828,meta-llama/llama-3.1-70b-instruct
hyporefine,deceptive_reviews_IND_seed_42,deceptive_reviews,IND,42,0.67,0.6624193548387096,meta-llama/llama-3.1-70b-instruct
few_shot_gen,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.7433333333333333,0.741237355916255,meta-llama/llama-3.1-70b-instruct
literature_only,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.6766666666666666,0.6662499569909738,meta-llama/llama-3.1-70b-instruct
hypogenic,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.6633333333333333,0.6390632544664414,meta-llama/llama-3.1-70b-instruct
hyporefine,deceptive_reviews_OOD_seed_42,deceptive_reviews,OOD,42,0.7233333333333334,0.7229618842891155,meta-llama/llama-3.1-70b-instruct
few_shot_gen,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.64,0.6205022488755623,meta-llama/llama-3.1-70b-instruct
literature_only,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.5233333333333333,0.39457338999673097,meta-llama/llama-3.1-70b-instruct
hypogenic,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.66,0.6482463965444387,meta-llama/llama-3.1-70b-instruct
hyporefine,with_heuristics/deceptive_reviews_IND_seed_42,with_heuristics/deceptive_reviews,IND,42,0.6333333333333333,0.6088313309408645,meta-llama/llama-3.1-70b-instruct
few_shot_gen,with_heuristics/deceptive_reviews_OOD_seed_42,with_heuristics/deceptive_reviews,OOD,42,0.7366666666666667,0.7365479390681003,meta-llama/llama-3.1-70b-instruct
